data_paper_DOI;data_paper_title;dimension;sub-dimension;sub-dimension-requirements;ground_truth
https://doi.org/10.1038/s41597-022-01541-w;An annotated image dataset for training mosquito species recognition system on human skin;"Distribution: 
How the dataset is distributed";Data splits;Is there any recommended data split of the data?;No recommendation is explicitly given, but a 85-15 ratio has been used for training-testing.
https://doi.org/10.1038/s41597-022-01541-w;An annotated image dataset for training mosquito species recognition system on human skin;"Distribution: 
How the dataset is distributed";Consistnecy Rules and relevant statistics;Consistency rules and constraints of the data and relevant statistics of the dataset;No important statistics or consistency rules are specified.
https://doi.org/10.1038/s41597-022-01541-w;An annotated image dataset for training mosquito species recognition system on human skin;"Gathering: 
How data have been collected";Description of the process;A summary of the gathering process applied over the data;the mosquitoes were bred and grew to adult stage, 4–5 days old in a fully control laboratory, Vector Control Research Unit, Universiti Sains Malaysia, which is accredited by WHO for insecticides susceptibility test5. The data collection process was illustrated in Fig. 1. The mosquito obtained from the mosquito breeding was transferred by a Polyethylene terephthalate (PET) container (diameter 12 cm, height 6 cm, Fig. 2a) to the net cage for image acquisition. The container and camera were placed in the cage for 30 minutes to allow the mosquito to adapt to the environment before images acquisition. The images were acquired by a digital single-lens reflex (DSLR) camera (Canon 7D, 18MP APS-C CMOS sensor, ISO 3200, auto white balance) with Tamron SP AF 90 mm f/2.8 Di Macro Lens. The images acquisition was performed on 4- to 5-day-old females’ adult in a netted cage with 34 W white light illumination on top of the cage. The volunteer consists of three ethnicities – Malay, Chinese and India, which aim to reflect the diversity of human skin tone. The volunteer’s palm is rest in the cage and different angles of the landed mosquitos’ images were acquired. Smashed mosquitoes were generated by smashing the mosquito randomly by a human palm in a non-feeding, partial, or fully repletion situation (Fig. 2b). The images were saved in JPEG format in the folders according to their classes. Images were later resized from original dimension into 224 × 224 pixels, to lower the file size of the images.
https://doi.org/10.1038/s41597-022-01541-w;An annotated image dataset for training mosquito species recognition system on human skin;"Gathering: 
How data have been collected";Processs Type;The type of the process from a set of provided types: Web API, Web Scrapping, Sensors, Manual Human Curator, Software collection, Surveys, Observations, Interviews, Focus groups, Document analysis, Secondary data analysis, Physical data collection, Self-reporting, Experiments, Direct measurement, Interviews, Document analysis, Secondary data analysis, Physical data collection, Self-reporting, Experiments, Direct measurement, Customer feedback data, Audio or video recordings, Image data, Biometric data, Medical or health data, Financial data, Geographic or spatial data, Time series data, User-generated content data.;Physical data collection
https://doi.org/10.1038/s41597-022-01541-w;An annotated image dataset for training mosquito species recognition system on human skin;"Gathering: 
How data have been collected";Information of the team gathering the data;Who gather the data, if its internal, external or a crowdworking serice, and its demographics information;No specific information about the team is specified
https://doi.org/10.1038/s41597-022-01541-w;An annotated image dataset for training mosquito species recognition system on human skin;"Gathering: 
How data have been collected";Demographics of the process if involves people;If the target of the gathering are people (natural language form speakers, or medical records from patients), information about the demographics of the dataset;The volunteer consists of three ethnicities – Malay, Chinese and India, which aim to reflect the diversity of human skin tone.
https://doi.org/10.1038/s41597-022-01541-w;An annotated image dataset for training mosquito species recognition system on human skin;"Gathering: 
How data have been collected";Information of the sources of the data;From where the data has been collected, and the potential noise issue of the source;The images were acquired by a digital single-lens reflex (DSLR) camera (Canon 7D, 18MP APS-C CMOS sensor, ISO 3200, auto white balance) with Tamron SP AF 90 mm f/2.8 Di Macro Lens, at Vector Control Research Unit, Universiti Sains Malaysia
https://doi.org/10.1038/s41597-022-01541-w;An annotated image dataset for training mosquito species recognition system on human skin;"Gathering: 
How data have been collected";Localization of the process;Where and when the data has been collected;Vector Control Research Unit, Universiti Sains Malaysia. No information about dates is provided
https://doi.org/10.1038/s41597-022-01541-w;An annotated image dataset for training mosquito species recognition system on human skin;"Annotation: 
How data has been annotated";Description of the process;A summary of the annotation process to generate the labels;The source of mosquito adults is the pure bred of the susceptible strain of Ae. aegypti, Ae. albopictus and Cx quinquefasciatus from Vector Control Research Unit (VCRU), Universiti Sains Malaysia. The mosquitoes were cultured in insectarium for more than 20 years and used for the WHO insecticides susceptibility test9,10. Furthermore, before and after the image acquisition, the taxonomy of the mosquito were validated by two medical entomologist
https://doi.org/10.1038/s41597-022-01541-w;An annotated image dataset for training mosquito species recognition system on human skin;"Annotation: 
How data has been annotated";Processs Type;The type of annotation process: Bounding boxes, Lines and splines, Semantinc Segmentation, 3D cuboids, Polygonal segmentation, Landmark and key-point, Image and video annotations, Entity annotation, Content and textual categorization;Image and video annotations
https://doi.org/10.1038/s41597-022-01541-w;An annotated image dataset for training mosquito species recognition system on human skin;"Annotation: 
How data has been annotated";The generated labels;Which are the generated labels, and its mapping with specific attributes;
https://doi.org/10.1038/s41597-022-01541-w;An annotated image dataset for training mosquito species recognition system on human skin;"Annotation: 
How data has been annotated";Information of the team annotating the data;Who annotates the data, form which type is (internal, external, crowdsourcing), and its demographics information;The data was annotated from prior knowledge, since the mosquitoes breeds were cultured in insectarium for more than 20 years. The taxonomy of the mosquito were validated by two medical entomologist before and after the image acquisition.
https://doi.org/10.1038/s41597-022-01541-w;An annotated image dataset for training mosquito species recognition system on human skin;"Annotation: 
How data has been annotated";Infrastructure used to annotate the data;Which tools and platforms  has been used to annotate the data;Not mentioned
https://doi.org/10.1038/s41597-022-01541-w;An annotated image dataset for training mosquito species recognition system on human skin;"Annotation: 
How data has been annotated";Validations applied over the labels;Which validation methods have been applied to validate the annotations;The taxonomy of the mosquito were validated by two medical entomologist before and after the image acquisition.
https://doi.org/10.1038/s41597-022-01541-w;An annotated image dataset for training mosquito species recognition system on human skin;"Social Concerns: 
Explicit warning regarding the data. ";Potential biases of the data;Potential biases of the dataset;The volunteers that participated in this dataset were Asian, and therefore is not covering the skin tone background of American, African, European, and Australian
https://doi.org/10.1038/s41597-022-01541-w;An annotated image dataset for training mosquito species recognition system on human skin;"Social Concerns: 
Explicit warning regarding the data. ";Representativeness and sensitivity  issues;Data imbalance, and representiveness issues for specific social groups;Lack of human skin tone diversity. The volunteers that participated in this dataset were Asian, and therefore is not covering the skin tone background of American, African, European, and Australian
https://doi.org/10.1038/s41597-022-01541-w;An annotated image dataset for training mosquito species recognition system on human skin;"Social Concerns: 
Explicit warning regarding the data. ";Privacy concerns of the data;Data privacy concerns;No privacy issues are mentioned. An ethics statement is made.
https://doi.org/10.1038/s41597-022-01718-3;A whole-body FDG-PET/CT Dataset with manually annotated Tumor Lesions;"Uses: 
The desing pruposes and uses of the dataset";Purposes, gaps and tasks;"The purposes of the creation of the dataset
The gaps this dataset inted to fill or complement
Representative tags of the dataset
ML Tasks the dataset is inteded for";The purpose is to provide an annotated, publicly available dataset of PET/CT images that enables technical and clinical research in the area of machine learning-based analysis of PET/CT studies and to demonstrate a use case of deep learning-based automated segmentation of tumor lesions
https://doi.org/10.1038/s41597-022-01718-4;A whole-body FDG-PET/CT Dataset with manually annotated Tumor Lesions;"Uses: 
The desing pruposes and uses of the dataset";Recommended and non-recommneded uses;The recommended and non-recommended uses of the dataset, and the warning towards its use.;"The provided data can be used by researchers of different backgrounds for the development and evaluation of machine learning methods for PET/CT analysis as well as for clinical research regarding the included tumor entities.
Non-recommended uses are not specified."
https://doi.org/10.1038/s41597-022-01718-5;A whole-body FDG-PET/CT Dataset with manually annotated Tumor Lesions;"Uses: 
The desing pruposes and uses of the dataset";Machine learning benchmarks;"Has been tested with any machine learning approach?
If yes, which results it gets with each specific ML model?";The dataset has been tested with a deep learning model for automated PET lesion segmentation (uuNet).
https://doi.org/10.1038/s41597-022-01718-6;A whole-body FDG-PET/CT Dataset with manually annotated Tumor Lesions;"Contributors: 
People and organizations behind the dataset";Authors ;Information regarding the creators of the dataset;Sergios Gatidis, Daniel Rubin, Thomas Küstner, Tobias Hepp
https://doi.org/10.1038/s41597-022-01718-7;A whole-body FDG-PET/CT Dataset with manually annotated Tumor Lesions;"Contributors: 
People and organizations behind the dataset";Funder and funding information;Information about the organizations who fund the creation of the dataset, it's type (public, private, mixed),  and the particular grant id (if present).;The research has been funded by the Stanford University, the University of Tübingen,  the Germany’s Excellence Strategy–EXC-Number 2064/1–390727645 and EXC 2180/1-390900677 and the DEAL Project.
https://doi.org/10.1038/s41597-022-01718-8;A whole-body FDG-PET/CT Dataset with manually annotated Tumor Lesions;"Contributors: 
People and organizations behind the dataset";Maintainers and maintenance policies;Information about the maintainers, the erratums, the contribution guidelines, the data rentetion policies and update policies of the dataset;Not specified
https://doi.org/10.1038/s41597-022-01718-9;A whole-body FDG-PET/CT Dataset with manually annotated Tumor Lesions;"Distribution: 
How the dataset is distributed";Data repository links;The link where the data can be accesed if its online and open, or the place where the data can be demanded;"The data presented in this manuscript is part of the MICCAI autoPET challenge 2022 (https://autopet.
grand-challenge.org/)."
https://doi.org/10.1038/s41597-022-01718-10;A whole-body FDG-PET/CT Dataset with manually annotated Tumor Lesions;"Distribution: 
How the dataset is distributed";Licenses of the data and the models trained with it;"The license under the dataset is released, 
Third-parties in-charge,
Attribution notices,
The rights of the data stand-alone
The rights of the models trained with the data";The licenses are not specified in the paper
https://doi.org/10.1038/s41597-022-01718-11;A whole-body FDG-PET/CT Dataset with manually annotated Tumor Lesions;"Distribution: 
How the dataset is distributed";Deprecation policies;Which are the plan and policies to deprecate the dataset;Not specified.
https://doi.org/10.1038/s41597-022-01718-12;A whole-body FDG-PET/CT Dataset with manually annotated Tumor Lesions;"Composition: 
How the dataset is composed";Data record composition of the dataset;The folder and files  structure and format, and information of the attributes of the files.  ;Fig. 2 provides information about the folder and files structure. Using pytonh scripts, new files and formats can be generated. The dataset if composed of DICOM images and CSV files with metadata. The fileds of the CSV files are (informally) described.
https://doi.org/10.1038/s41597-022-01718-13;A whole-body FDG-PET/CT Dataset with manually annotated Tumor Lesions;"Composition: 
How the dataset is composed";Data splits;Is there any recommended data split of the data?;Not specified
https://doi.org/10.1038/s41597-022-01718-14;A whole-body FDG-PET/CT Dataset with manually annotated Tumor Lesions;"Composition: 
How the dataset is composed";Consistnecy Rules and relevant statistics;Consistency rules and constraints of the data and relevant statistics of the dataset;"No consistency rules are provided.
Some statistics are given in Fig. 2 (mean age per diagnosis and age, std. dev.). Also, in the ""Data properties"" Section some absolute numbers are given: Of the 1014 studies (900 unique patients) included in this dataset, one study was included of 819 patients, two studies were included of 59 patients, 3 studies of 14 patients, 4 studies of 4 patients and 5 studies of 3 patients."
https://doi.org/10.1038/s41597-022-01718-15;A whole-body FDG-PET/CT Dataset with manually annotated Tumor Lesions;"Gathering: 
How data have been collected";Description of the process;A summary of the gathering process applied over the data;Publication of anonymized data was approved by the institutional ethics committee of the Medical Faculty of the University of Tübingen as well as the institutional data security and privacy review board. Data from 1,014 whole-body FDG-PET/CT examinations of 900 patients acquired between 2014 and 2018 as part of a prospective registry study9 were included in this dataset
https://doi.org/10.1038/s41597-022-01718-16;A whole-body FDG-PET/CT Dataset with manually annotated Tumor Lesions;"Gathering: 
How data have been collected";Processs Type;The type of the process from a set of provided types: Web API, Web Scrapping, Sensors, Manual Human Curator, Software collection, Surveys, Observations, Interviews, Focus groups, Document analysis, Secondary data analysis, Physical data collection, Self-reporting, Experiments, Direct measurement, Interviews, Document analysis, Secondary data analysis, Physical data collection, Self-reporting, Experiments, Direct measurement, Customer feedback data, Audio or video recordings, Image data, Biometric data, Medical or health data, Financial data, Geographic or spatial data, Time series data, User-generated content data.;Medical data
https://doi.org/10.1038/s41597-022-01718-17;A whole-body FDG-PET/CT Dataset with manually annotated Tumor Lesions;"Gathering: 
How data have been collected";Information of the team gathering the data;Who gather the data, if its internal, external or a crowdworking serice, and its demographics information;"Sergios Gatidis, Daniel Rubin, Thomas Küstner, Tobias Hepp (probably).
No demographics are given"
https://doi.org/10.1038/s41597-022-01718-18;A whole-body FDG-PET/CT Dataset with manually annotated Tumor Lesions;"Gathering: 
How data have been collected";Demographics of the process if involves people;If the target of the gathering are people (natural language form speakers, or medical records from patients), information about the demographics of the dataset;Mean ages are provided in Fig. 2. Regarding positives and negatives: The selection criteria for positive samples were: age >18 years, histologically confirmed diagnosis of lung cancer, lymphoma or malignant melanoma, and presence of at least one FDG-avid tumor lesion according to the final clinical report. The selection criteria for negative samples were: age >18 years, no detectable FDG-avid tumor lesion according to the clinical radiology report.
https://doi.org/10.1038/s41597-022-01718-19;A whole-body FDG-PET/CT Dataset with manually annotated Tumor Lesions;"Gathering: 
How data have been collected";Information of the sources of the data;From where the data has been collected, and the potential noise issue of the source;Clinical scanner (Siemens Biograph mCT, Siemens Healthineers, Knoxville, USA)
https://doi.org/10.1038/s41597-022-01718-20;A whole-body FDG-PET/CT Dataset with manually annotated Tumor Lesions;"Gathering: 
How data have been collected";Localization of the process;Where and when the data has been collected;University Hospital Tübingen between 2014 and 2018
https://doi.org/10.1038/s41597-022-01718-21;A whole-body FDG-PET/CT Dataset with manually annotated Tumor Lesions;"Annotation: 
How data has been annotated";Description of the process;A summary of the annotation process to generate the labels;All examinations were assessed by a radiologist and nuclear medicine specialist in a clinical setting. Based on the report of this clinical assessment, all FDG-avid tumor lesions were segmented by an experienced radiologist using dedicated software.
https://doi.org/10.1038/s41597-022-01718-22;A whole-body FDG-PET/CT Dataset with manually annotated Tumor Lesions;"Annotation: 
How data has been annotated";Processs Type;The type of annotation process: Bounding boxes, Lines and splines, Semantinc Segmentation, 3D cuboids, Polygonal segmentation, Landmark and key-point, Image and video annotations, Entity annotation, Content and textual categorization;
https://doi.org/10.1038/s41597-022-01718-23;A whole-body FDG-PET/CT Dataset with manually annotated Tumor Lesions;"Annotation: 
How data has been annotated";Type;;
https://doi.org/10.1038/s41597-022-01718-24;A whole-body FDG-PET/CT Dataset with manually annotated Tumor Lesions;"Annotation: 
How data has been annotated";The generated labels;Which are the generated labels, and its mapping with specific attributes;
https://doi.org/10.1038/s41597-022-01718-25;A whole-body FDG-PET/CT Dataset with manually annotated Tumor Lesions;"Annotation: 
How data has been annotated";Information of the team annotating the data;Who annotates the data, form which type is (internal, external, crowdsourcing), and its demographics information;
https://doi.org/10.1038/s41597-022-01718-26;A whole-body FDG-PET/CT Dataset with manually annotated Tumor Lesions;"Annotation: 
How data has been annotated";Infrastructure used to annotate the data;Which tools and platforms  has been used to annotate the data;In case of uncertainty regarding lesion definition, the specific PET/CT studies were reviewed in consensus with the radiologist and nuclear medicine physician who prepared the initial clinical report. To this end CT and corresponding PET volumes were displayed side by side or as an overlay and tumor lesions showing elevated FDG-uptake (visually above blood-pool levels) were segmented in a slice-per-slice manner resulting in 3D binary segmentation masks
https://doi.org/10.1038/s41597-022-01718-27;A whole-body FDG-PET/CT Dataset with manually annotated Tumor Lesions;"Annotation: 
How data has been annotated";Validations applied over the labels;Which validation methods have been applied to validate the annotations;To facilitate data usage, Python scripts that allow conversion of DICOM data to other medical image formats (NIfTI and mha) as well as the hdf5 format are provided.
https://doi.org/10.1038/s41597-022-01718-28;A whole-body FDG-PET/CT Dataset with manually annotated Tumor Lesions;"Social Concerns: 
Explicit warning regarding the data. ";Potential biases of the data;Potential biases of the dataset;Others
https://doi.org/10.1038/s41597-022-01718-29;A whole-body FDG-PET/CT Dataset with manually annotated Tumor Lesions;"Social Concerns: 
Explicit warning regarding the data. ";Representativeness and sensitivity  issues;Data imbalance, and representiveness issues for specific social groups;Not specified
https://doi.org/10.1038/s41597-022-01718-30;A whole-body FDG-PET/CT Dataset with manually annotated Tumor Lesions;"Social Concerns: 
Explicit warning regarding the data. ";Privacy concerns of the data;Data privacy concerns;Data has been anonymized. The process was approved by the institutional ethics committee of the Medical Faculty of the University of Tübingen as well as the institutional data security and privacy review board.
https://doi.org/10.1038/s41597-022-01855-9;A speech corpus of Quechua Collao for automatic dimensional emotion recognition;"Uses: 
The desing pruposes and uses of the dataset";Purposes, gaps and tasks;"The purposes of the creation of the dataset
The gaps this dataset inted to fill or complement
Representative tags of the dataset
ML Tasks the dataset is inteded for";There is an emotion recognition gap for Quechua speakers. The dataset aims aim to fill this gap by creating a speech corpus of Quechua Collao for automatic emotion recognition, evaluating its usefulness using machine learning techniques and deep neural. The emotion recognition uses the dimensional approach, based on valence, arousal, and dominance.
https://doi.org/10.1038/s41597-022-01855-10;A speech corpus of Quechua Collao for automatic dimensional emotion recognition;"Uses: 
The desing pruposes and uses of the dataset";Recommended and non-recommneded uses;The recommended and non-recommended uses of the dataset, and the warning towards its use.;The goal is to provide a corpus of Quechua Collao for for automatic emotion recognition. It is not recommended for other variants of Quechua.
https://doi.org/10.1038/s41597-022-01855-11;A speech corpus of Quechua Collao for automatic dimensional emotion recognition;"Uses: 
The desing pruposes and uses of the dataset";Machine learning benchmarks;"Has been tested with any machine learning approach?
If yes, which results it gets with each specific ML model?";The machine learning (ML) methods used are Support Vector Regression (SVR), K-neighbors Regression (KNR), and Random Forest Regression (RFR). They were implemented using Scikit-Learn40. The neural network models used are Multilayer Perceptron (MLP), Long Short-Term Memory (LSTM) network, and Convolutional Neural Network (CNN).
https://doi.org/10.1038/s41597-022-01855-12;A speech corpus of Quechua Collao for automatic dimensional emotion recognition;"Contributors: 
People and organizations behind the dataset";Authors ;Information regarding the creators of the dataset;J.E.C., R.Y.G.P.Y. and C.A.H.A. designed the script, designed, prepared, and conducted the data collection, pre-processed and constructed the corpus38, designed, and conducted the technical validation, and wrote the manuscript.
https://doi.org/10.1038/s41597-022-01855-13;A speech corpus of Quechua Collao for automatic dimensional emotion recognition;"Contributors: 
People and organizations behind the dataset";Funder and funding information;Information about the organizations who fund the creation of the dataset, it's type (public, private, mixed),  and the particular grant id (if present).;The research was carried out as part of the Kusisqa project, whose funder is Proyecto Concytec - Banco Mundial, Mejoramiento y Ampliación de los Servicios del Sistema Nacional de Ciencia, Tecnología e Innovación Tecnológica with grant reference number Contract N° 014-2019-FONDECYT-BM-INC.INV. The authors acknowledge the contribution of the School of Computer Science, UNSA, for allowing us to use its facilities for recording sessions and for granting financial support.
https://doi.org/10.1038/s41597-022-01855-14;A speech corpus of Quechua Collao for automatic dimensional emotion recognition;"Contributors: 
People and organizations behind the dataset";Maintainers and maintenance policies;Information about the maintainers, the erratums, the contribution guidelines, the data rentetion policies and update policies of the dataset;No information about contributing guidelines, update policies, etc. Is given.
https://doi.org/10.1038/s41597-022-01855-15;A speech corpus of Quechua Collao for automatic dimensional emotion recognition;"Distribution: 
How the dataset is distributed";Data repository links;The link where the data can be accesed if its online and open, or the place where the data can be demanded;The corpus is available in Figshare (https://doi.org/10.6084/m9.figshare.20292516). Code and data splits in Github (https://github.com/qccData/qccCorpus)
https://doi.org/10.1038/s41597-022-01855-16;A speech corpus of Quechua Collao for automatic dimensional emotion recognition;"Distribution: 
How the dataset is distributed";Licenses of the data and the models trained with it;"The license under the dataset is released, 
Third-parties in-charge,
Attribution notices,
The rights of the data stand-alone
The rights of the models trained with the data";There is no explicit information about the license (in the references it can be seen that the corpus is CC BY and the code and data splits are GPL)
https://doi.org/10.1038/s41597-022-01855-17;A speech corpus of Quechua Collao for automatic dimensional emotion recognition;"Distribution: 
How the dataset is distributed";Deprecation policies;Which are the plan and policies to deprecate the dataset;Not specified
https://doi.org/10.1038/s41597-022-01855-18;A speech corpus of Quechua Collao for automatic dimensional emotion recognition;"Distribution: 
How the dataset is distributed";Data record composition of the dataset;The folder and files  structure and format, and information of the attributes of the files.  ;"The corpus38 can be downloaded as a zip file that contains 4 directories. All audio segments in WAV format
are found in the Audios folder; each audio is randomly named by numbers ranging from 10001 to 22420. This
action was carried out to avoid bias. Detailed information of each audio is found in a file inside the Data folder,
in a file named Data.csv. This file is made up of five columns, where:
• The Audio column contains the name of the WAV files.
• The Emotion column represents the categorical emotion of the audio segment.
• The Actor column contains the code of the actor who performed and interpreted the audio segment. The code
comprises an a and a number from 1 to 6 representing the six actors (example: a2).
• The File column contains the original name of each audio segment, this name is divided into two segments by
an underscore: The first represents the code of the actor, and the second segment is composed of a letter and
a number; the letter represents the emotion (H = Happy, T = Sad, B = Bored, F = Fear, S = Sleepy, C = Calm,
E = Excited, A = Angry, and N = Neutral) and the number represents the position of the audio segment. For example, the name a2_B159.wav indicates that the segment belongs to actor 2 (a2), that it belongs to the emotion
bored (B), and that it is the 159th segment in this set.
• Duration (s) column indicates the duration in seconds of each audio segment.
The annotations for each audio segment are found in the Labels folder, and the emotional dimensions of
valence are found in the Valence.csv file, which is made up of 5 columns: the first contains the name of the audio
segment, and the other four store the label made by each annotator. For example, the second column contains
the labels made by annotator 1, represented by the code N1. The values for the emotional dimension of arousal
and the emotional dimension of dominance are found in the files Arousal.csv and Dominance.csv, respectively,
and have the same structure as the Valence.csv file.
The general average of each emotional dimension is found in the Labels.csv file, also within the Labels folder,
where the first column represents the name of the audio segment, the second, third, and fourth columns contain
the average of the labels made by the four annotators of the dimensions emotional valence, arousal, and dominance
respectively.
Finally, the Script folder contains Script.xlsx, which is the script used for the corpus38 creation. This file
comprises 9 sheets for the 9 categorical emotions used. Each word and sentence has an ID that employs the same
notation as that of the File column of Data.xlsx, explained previously, without considering the actor prefix. For
example, T159 is an ID that corresponds to the 159th sentence of the Sad emotion."
https://doi.org/10.1038/s41597-022-01855-19;A speech corpus of Quechua Collao for automatic dimensional emotion recognition;"Distribution: 
How the dataset is distributed";Data splits;Is there any recommended data split of the data?;No explicit recommendation is made, but the paper mentions that data is split in three sets: 60% for training, 20% for validation, and 20% for testing
https://doi.org/10.1038/s41597-022-01855-20;A speech corpus of Quechua Collao for automatic dimensional emotion recognition;"Distribution: 
How the dataset is distributed";Consistnecy Rules and relevant statistics;Consistency rules and constraints of the data and relevant statistics of the dataset;No specific consistency rules or constrainst are provided. Histograms for each dimensional attribute in the Quechua Collao corpus are provided in Fig. 3.
https://doi.org/10.1038/s41597-022-01855-21;A speech corpus of Quechua Collao for automatic dimensional emotion recognition;"Gathering: 
How data have been collected";Description of the process;A summary of the gathering process applied over the data;"Script creation. Our script comprises 378 words and 1692 sentences, making a total of 2070 instances. These
were extracted from different texts written in Quechua Collao, while most of them include a Spanish translation22–
36. The complete script is divided into nine parts, each consisting of 42 words and 188 sentences. These
parts correspond to 9 categorical emotions: happy, sad, bored, fear, sleepy, calm, excited, angry, and neutral. Most
words and sentences were chosen according to the emotions that were used. For example, the sentence “Sumaqmi
ñawiyki”, which means “your eyes are pretty”, was selected to represent happy emotion.
The script construction was done in five phases. In the first phase, all the documents from which all the
words and sentences were extracted were investigated. The second phase was carried out by three people who
built the script. These first two phases were carried out by people who speak Spanish natively but do not speak
any variant of Quechua. In the third phase, an expert in the Quechua Collao language reviewed and corrected
the entire script and provided other sources to replace some sentences per emotion. The fourth phase consisted
of selecting these new sentences and replacing some old ones. Finally, the fifth phase was accomplished by a
second Quechua language expert, who translated sentences from Spanish into Quechua Collao and made corrections
to the entire script.
Recording sessions. The recording sessions were performed with semi-professional microphones and at
semi noiseless spaces at the School of Computer Science - UNSA. The actors were mostly mid-age native Quechua
speakers that were paid to record. The whole script (2070 instances) was planned to be recorded by each actor
of a group of three women and three men in order to have balanced data in terms of gender. However, an actress
(Actress 5) could not finish due to unexpected situations, so her work was completed by another actress (Actress 7).
Table 1 shows information related to actors.
A session consists of one emotion’s recording per actor (230 instances). Previous to the recording, the actors
were given the scripts and asked to rehearse with the linguist expert. In each session, the actor/actress is asked to
read the script while interpreting the target emotion, and its interpretation is evaluated. If the evaluator decides
the performance or pronunciation is inadequate, then the recording of the instance is repeated, asking the actor/
actress to remember situations in the past or giving them hypothetical situations so emotions can be elicited. To
avoid performance fatigue, each session was divided into five groups of 46 instances, and after recording each
group, a pause of around 5 minutes was done.
The audios were recorded using one of the following microphones: Emita USB Studio Microphone GXT 252
and Blue Snowball USB Microphone. The software used to record was Audacity, with a sample rate 44KHz and
one recording channel (mono). The scene setup for recordings is shown in Fig. 1."
https://doi.org/10.1038/s41597-022-01855-22;A speech corpus of Quechua Collao for automatic dimensional emotion recognition;"Gathering: 
How data have been collected";Processs Type;The type of the process from a set of provided types: Web API, Web Scrapping, Sensors, Manual Human Curator, Software collection, Surveys, Observations, Interviews, Focus groups, Document analysis, Secondary data analysis, Physical data collection, Self-reporting, Experiments, Direct measurement, Interviews, Document analysis, Secondary data analysis, Physical data collection, Self-reporting, Experiments, Direct measurement, Customer feedback data, Audio or video recordings, Image data, Biometric data, Medical or health data, Financial data, Geographic or spatial data, Time series data, User-generated content data.;Audio or video recording
